gene,name,bp
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_10018>,"BCL2L11, BAM, BIM, BOD; BCL2-like 11 (apoptosis facilitator); K16341 Bcl-2-like protein 11",<http://www.geneontology.org/go#GO_0043065>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_10018>,"BCL2L11, BAM, BIM, BOD; BCL2-like 11 (apoptosis facilitator); K16341 Bcl-2-like protein 11",<http://www.geneontology.org/go#GO_0006915>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_10018>,"BCL2L11, BAM, BIM, BOD; BCL2-like 11 (apoptosis facilitator); K16341 Bcl-2-like protein 11",<http://www.geneontology.org/go#GO_0042981>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_100506742>,"CASP12, CASP-12, CASP12P1; caspase 12 (gene/pseudogene); K04741 caspase 12 [EC:3.4.22.-]",<http://www.geneontology.org/go#GO_0006915>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_100506742>,"CASP12, CASP-12, CASP12P1; caspase 12 (gene/pseudogene); K04741 caspase 12 [EC:3.4.22.-]",<http://www.geneontology.org/go#GO_0042981>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_100533105>,C8orf44-SGK3; C8orf44-SGK3 readthrough (EC:2.7.11.1); K13304 serum/glucocorticoid-regulated kinase 3 [EC:2.7.11.1],<http://www.geneontology.org/go#GO_0042127>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_10110>,"SGK2, H-SGK2, dJ138B7.2; serum/glucocorticoid regulated kinase 2 (EC:2.7.11.1); K13303 serum/glucocorticoid-regulated kinase 2 [EC:2.7.11.1]",<http://www.geneontology.org/go#GO_0042127>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1017>,"CDK2, CDKN2, p33(CDK2); cyclin-dependent kinase 2 (EC:2.7.11.22); K02206 cyclin-dependent kinase 2 [EC:2.7.11.22]",<http://www.geneontology.org/go#GO_0008284>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1019>,"CDK4, CMM3, PSK-J3; cyclin-dependent kinase 4 (EC:2.7.11.22); K02089 cyclin-dependent kinase 4 [EC:2.7.11.22]",<http://www.geneontology.org/go#GO_0043065>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1019>,"CDK4, CMM3, PSK-J3; cyclin-dependent kinase 4 (EC:2.7.11.22); K02089 cyclin-dependent kinase 4 [EC:2.7.11.22]",<http://www.geneontology.org/go#GO_0008284>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1019>,"CDK4, CMM3, PSK-J3; cyclin-dependent kinase 4 (EC:2.7.11.22); K02089 cyclin-dependent kinase 4 [EC:2.7.11.22]",<http://www.geneontology.org/go#GO_0042127>
