disease_id,disease_name,gene_id,gene_name,,
ds:H00001,Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia),hsa:100133941,"CD24, CD24A; CD24 molecule; K06469 CD24 antigen",,
ds:H00001,Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia),hsa:1791,"DNTT, TDT; DNA nucleotidylexotransferase (EC:2.7.7.31); K00977 DNA nucleotidylexotransferase [EC:2.7.7.31]",,
ds:H00001,Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia),hsa:2120,"ETV6, TEL, TEL/ABL; ets variant 6; K03211 ETS translocation variant 6/7",,
ds:H00001,Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia),hsa:25,"ABL1, ABL, JTK7, bcr/abl, c-ABL, c-ABL1, p150, v-abl; ABL proto-oncogene 1, non-receptor tyrosine kinase (EC:2.7.10.2); K06619 abelson tyrosine-protein kinase 1 [EC:2.7.10.2]",,
ds:H00001,Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia),hsa:4297,"KMT2A, ALL-1, CXXC7, HRX, HTRX1, MLL, MLL/GAS7, MLL1, MLL1A, TET1-MLL, TRX1, WDSTS; lysine (K)-specific methyltransferase 2A (EC:2.1.1.43); K09186 histone-lysine N-methyltransferase MLL1 [EC:2.1.1.43]",,
ds:H00001,Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia),hsa:4299,"AFF1, AF4, MLLT2, PBM1; AF4/FMR2 family, member 1; K15184 AF4/FMR2 family member 1",,
ds:H00001,Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia),hsa:4311,"MME, CALLA, CD10, NEP, SFE; membrane metallo-endopeptidase (EC:3.4.24.11); K01389 neprilysin [EC:3.4.24.11]",,
ds:H00001,Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia),hsa:4609,"MYC, MRTL, MYCC, bHLHe39, c-Myc; v-myc avian myelocytomatosis viral oncogene homolog; K04377 Myc proto-oncogene protein",,
ds:H00001,Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia),hsa:5087,PBX1; pre-B-cell leukemia homeobox 1; K09355 pre-B-cell leukemia transcription factor 1,,
ds:H00001,Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia),hsa:613,"BCR, ALL, BCR1, CML, D22S11, D22S662, PHL; breakpoint cluster region (EC:2.7.11.1); K08878 breakpoint cluster region protein [EC:2.7.11.1]",,
ds:H00001,Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia),hsa:6929,"TCF3, E2A, E47, ITF1, TCF-3, VDIR, bHLHb21; transcription factor 3; K09063 transcription factor E2-alpha",,
ds:H00001,Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia),hsa:7490,"WT1, AWT1, EWS-WT1, GUD, NPHS4, WAGR, WIT-2, WT33; Wilms tumor 1; K09234 Wilms tumor protein 1",,
ds:H00001,Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia),hsa:861,"RUNX1, AML1, AML1-EVI-1, AMLCR1, CBFA2, EVI-1, PEBP2aB; runt-related transcription factor 1; K08367 runt-related transcription factor 1",,
ds:H00001,Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia),hsa:930,"CD19, B4, CVID3; CD19 molecule; K06465 CD19 antigen",,
ds:H00001,Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia),hsa:931,"MS4A1, B1, Bp35, CD20, CVID5, LEU-16, MS4A2, S7; membrane-spanning 4-domains, subfamily A, member 1; K06466 membrane-spanning 4-domains, subfamily A, member 1",,
ds:H00001,Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia),hsa:933,"CD22, SIGLEC-2, SIGLEC2; CD22 molecule; K06467 CD22 antigen",,
